service_id,date,exception_type
2023_09_11-DX-MVS-Weekday-02,20231123,2
2023_09_11-DX-MVS-Weekday-02,20231225,2
2023_09_11-SA-MVS-Saturday-02,20230923,2
2023_09_11-SA-MVS-Saturday-02,20231014,2
2023_09_11-SA-MVS-Saturday-02,20231028,2
2023_09_11-SA-MVS-Saturday-02,20231202,2
2023_09_11-SU-MVS-Sunday-02,20230924,2
2023_09_11-SU-MVS-Sunday-02,20231015,2
2023_09_11-SU-MVS-Sunday-02,20231029,2
2023_09_11-SU-MVS-Sunday-02,20231203,2
2023_09_11-SU-MVS-Sunday-02,20231123,1
2023_09_11-SU-MVS-Sunday-02,20231225,1
2023_09_11-SA-MVS-Saturday-55,20231021,2
2023_09_11-SU-MVS-Sunday-55,20231022,2
2023_09_11-DX19-Weekday-01,20231123,2
2023_09_11-DX19-Weekday-01,20231225,2
2023_09_11-SU19-Sunday-01,20231123,1
2023_09_11-SU19-Sunday-01,20231225,1
2023_09_11-DX20-Weekday-01,20231123,2
2023_09_11-DX20-Weekday-01,20231225,2
2023_09_11-SU20-Sunday-01,20231123,1
2023_09_11-SU20-Sunday-01,20231225,1
