service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2023_09_11-DX-MVS-Weekday-02,1,1,1,1,1,0,0,20230911,20231229
2023_09_11-SA-MVS-Saturday-02,0,0,0,0,0,1,0,20230916,20231230
2023_09_11-SU-MVS-Sunday-02,0,0,0,0,0,0,1,20230917,20231225
2023_09_11-SA-MVS-Saturday-85,0,0,0,0,0,1,0,20230923,20230923
2023_09_11-SU-MVS-Sunday-85,0,0,0,0,0,0,1,20230924,20230924
2023_09_11-SA-MVS-Saturday-55,0,0,0,0,0,1,0,20231014,20231028
2023_09_11-SU-MVS-Sunday-55,0,0,0,0,0,0,1,20231015,20231029
2023_09_11-SA-MVS-Saturday-81,0,0,0,0,0,1,0,20231202,20231202
2023_09_11-SU-MVS-Sunday-81,0,0,0,0,0,0,1,20231203,20231203
2023_09_11-SU-MVS-Sunday-03,0,0,0,0,0,0,1,20231231,20231231
2023_09_11-DX19-Weekday-01,1,1,1,1,1,0,0,20230911,20231229
2023_09_11-SA19-Saturday-01,0,0,0,0,0,1,0,20230916,20231230
2023_09_11-SU19-Sunday-01,0,0,0,0,0,0,1,20230917,20231231
2023_09_11-DX20-Weekday-01,1,1,1,1,1,0,0,20230911,20231229
2023_09_11-SA20-Saturday-01,0,0,0,0,0,1,0,20230916,20231230
2023_09_11-SU20-Sunday-01,0,0,0,0,0,0,1,20230917,20231231
