route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
5,2023_09_11-DX-MVS-Weekday-02,1462169,OAK Airport / SF / Daly City,1,,1462169_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462223,Berryessa/North San Jose,0,,1462223_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462163,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462220,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462168,OAK Airport / SF / Daly City,1,,1462169_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462222,Berryessa/North San Jose,0,,1462223_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462121,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462219,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462122,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462221,Berryessa/North San Jose,0,,1462223_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462218,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462123,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462170,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462124,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462125,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462171,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462126,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462127,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462172,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462128,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462173,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462174,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462129,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462175,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462130,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462176,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462131,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462132,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462177,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462133,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462134,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462178,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462135,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462179,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462136,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462180,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462137,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
6,2023_09_11-DX-MVS-Weekday-02,1462181,SF / OAK Airport / Berryessa,0,,1462220_shp,,0,0
5,2023_09_11-DX-MVS-Weekday-02,1462138,OAK Airport / SF / Daly City,1,,1462163_shp,,0,0
