service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2023_02_13-DX-MVS-Weekday-01,1,1,1,1,1,0,0,20230213,20230908
2023_02_13-SA-MVS-Saturday-25,0,0,0,0,0,1,0,20230218,20230220
2023_02_13-SU-MVS-Sunday-25,0,0,0,0,0,0,1,20230219,20230219
2023_02_13-SA-MVS-Saturday-01,0,0,0,0,0,1,0,20230225,20230909
2023_02_13-SU-MVS-Sunday-01,0,0,0,0,0,0,1,20230226,20230910
2023_02_13-SA-MVS-Saturday-16,0,0,0,0,0,1,0,20230401,20230610
2023_02_13-SU-MVS-Sunday-16,0,0,0,0,0,0,1,20230402,20230611
2023_02_13-SU-MVS-Sunday-07,0,0,0,0,0,0,1,20230521,20230521
2023_02_13-DX19-Weekday-01,1,1,1,1,1,0,0,20230403,20230908
2023_02_13-SA19-Saturday-01,0,0,0,0,0,1,0,20230408,20230909
2023_02_13-SU19-Sunday-01,0,0,0,0,0,0,1,20230409,20230910
2023_02_13-DX20-Weekday-01,1,1,1,1,1,0,0,20230403,20230908
2023_02_13-SA20-Saturday-01,0,0,0,0,0,1,0,20230408,20230909
2023_02_13-SU20-Sunday-01,0,0,0,0,0,0,1,20230409,20230910
