trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
1370934,05:44:00,05:44:00,DUBL,0,,,,0.0
1370934,05:46:00,05:47:00,WDUB,1,,,,8504.67
1370934,05:56:00,05:57:00,CAST,2,,,,53076.13
1370934,06:01:00,06:01:00,BAYF,3,,,,68917.78
1370934,06:05:00,06:05:00,SANL,4,,,,82408.32
1370934,06:09:00,06:09:00,COLS,5,SF / Daly City,,,98015.87
1370934,06:12:00,06:12:00,FTVL,6,SF / Daly City,,,109147.03
1370934,06:16:00,06:17:00,LAKE,7,SF / Daly City,,,123674.98
1370934,06:22:00,06:22:00,WOAK,8,SF / Daly City,,,133258.91
1370934,06:29:00,06:29:00,EMBR,9,SF / Daly City,,,164235.91
1370934,06:31:00,06:31:00,MONT,10,SF / Daly City,,,166088.69
1370934,06:32:00,06:33:00,POWL,11,SF / Daly City,,,168438.9
1370934,06:34:00,06:34:00,CIVC,12,SF / Daly City,,,171103.23
1370934,06:36:00,06:37:00,16TH,13,SF / Daly City,,,176994.04
1370934,06:38:00,06:39:00,24TH,14,SF / Daly City,,,181652.1
1370934,06:41:00,06:41:00,GLEN,15,SF / Daly City,,,190327.04
1370934,06:43:00,06:44:00,BALB,16,SF / Daly City,,,196416.91
1370934,06:48:00,06:48:00,DALY,17,SF / Daly City,,,205895.73
1370935,06:13:00,06:13:00,DUBL,0,,,,0.0
1370935,06:15:00,06:16:00,WDUB,1,,,,8504.67
1370935,06:25:00,06:26:00,CAST,2,,,,53076.13
1370935,06:30:00,06:30:00,BAYF,3,,,,68917.78
1370935,06:34:00,06:34:00,SANL,4,,,,82408.32
1370935,06:38:00,06:38:00,COLS,5,SF / Daly City,,,98015.87
1370935,06:41:00,06:41:00,FTVL,6,SF / Daly City,,,109147.03
1370935,06:45:00,06:46:00,LAKE,7,SF / Daly City,,,123674.98
1370935,06:51:00,06:51:00,WOAK,8,SF / Daly City,,,133258.91
1370935,06:58:00,06:58:00,EMBR,9,SF / Daly City,,,164235.91
1370935,07:00:00,07:00:00,MONT,10,SF / Daly City,,,166088.69
1370935,07:01:00,07:02:00,POWL,11,SF / Daly City,,,168438.9
1370935,07:03:00,07:03:00,CIVC,12,SF / Daly City,,,171103.23
1370935,07:05:00,07:06:00,16TH,13,SF / Daly City,,,176994.04
1370935,07:07:00,07:08:00,24TH,14,SF / Daly City,,,181652.1
1370935,07:10:00,07:10:00,GLEN,15,SF / Daly City,,,190327.04
1370935,07:12:00,07:13:00,BALB,16,SF / Daly City,,,196416.91
1370935,07:17:00,07:17:00,DALY,17,SF / Daly City,,,205895.73
1370936,06:43:00,06:43:00,DUBL,0,,,,0.0
1370936,06:45:00,06:46:00,WDUB,1,,,,8504.67
1370936,06:55:00,06:56:00,CAST,2,,,,53076.13
1370936,07:00:00,07:00:00,BAYF,3,,,,68917.78
1370936,07:04:00,07:04:00,SANL,4,,,,82408.32
1370936,07:08:00,07:08:00,COLS,5,SF / Daly City,,,98015.87
1370936,07:11:00,07:11:00,FTVL,6,SF / Daly City,,,109147.03
1370936,07:15:00,07:16:00,LAKE,7,SF / Daly City,,,123674.98
1370936,07:21:00,07:21:00,WOAK,8,SF / Daly City,,,133258.91
1370936,07:28:00,07:28:00,EMBR,9,SF / Daly City,,,164235.91
1370936,07:30:00,07:30:00,MONT,10,SF / Daly City,,,166088.69
1370936,07:31:00,07:32:00,POWL,11,SF / Daly City,,,168438.9
1370936,07:33:00,07:33:00,CIVC,12,SF / Daly City,,,171103.23
1370936,07:35:00,07:36:00,16TH,13,SF / Daly City,,,176994.04
1370936,07:37:00,07:38:00,24TH,14,SF / Daly City,,,181652.1
